date,high,low,open,close,Volume
1382128200000,1447.0,1447.0,1447.0,1447.0,1012900000
1386707400000,2000.0,2000.0,2000.0,2000.0,30000000
1387657800000,3000.0,3000.0,3000.0,3000.0,4974000
1387917000000,3000.0,3000.0,3000.0,3000.0,9900000
1389645000000,2120.0,2120.0,2120.0,2120.0,21289040
1391977800000,2120.0,2120.0,2120.0,2120.0,31800000
1393187400000,2120.0,2120.0,2120.0,2120.0,31800000
1393705800000,2120.0,2120.0,2120.0,2120.0,6996000
1393878600000,2120.0,2120.0,2120.0,2120.0,31800000
1394397000000,2121.0,2121.0,2121.0,2121.0,994749
1395775800000,2000.0,2000.0,2000.0,2000.0,30000000
1396639800000,1600.0,1600.0,1600.0,1600.0,24000000
1397417400000,1550.0,1550.0,1550.0,1550.0,15500000
1397503800000,1500.0,1500.0,1500.0,1500.0,15000000
1398454200000,1510.0,1510.0,1510.0,1510.0,3681380
1399231800000,1600.0,1450.0,1600.0,1450.0,1610000
1399663800000,1500.0,1500.0,1500.0,1500.0,150000
1400009400000,1450.0,1450.0,1450.0,1450.0,14500000
1400614200000,1400.0,1400.0,1400.0,1400.0,14000000
1401651000000,1401.0,1401.0,1401.0,1401.0,21015000
1401737400000,1400.0,1400.0,1400.0,1400.0,10586800
1403465400000,1450.0,1400.0,1450.0,1400.0,4885000
1404243000000,1400.0,1400.0,1400.0,1400.0,2800000
1404588600000,1400.0,1400.0,1400.0,1400.0,21000000
1405971000000,1400.0,1400.0,1400.0,1400.0,21000000
1406316600000,1400.0,1400.0,1400.0,1400.0,7000000
1410031800000,1500.0,1400.0,1400.0,1500.0,1825000
1410809400000,1000.0,1000.0,1000.0,1000.0,1500000
1413923400000,1550.0,1000.0,1000.0,1550.0,37948000
1414441800000,1200.0,1200.0,1200.0,1200.0,6000000
1417293000000,1550.0,1550.0,1550.0,1550.0,7750000
1419366600000,1100.0,1001.0,1001.0,1100.0,11525525
1420921800000,968.0,967.0,968.0,967.0,24190000
1422131400000,910.0,910.0,910.0,910.0,5027750
1422736200000,1180.0,1180.0,1180.0,1180.0,6519500
1423254600000,1190.0,1190.0,1190.0,1190.0,17850000
1427657400000,1200.0,1200.0,1200.0,1200.0,6000000
1428175800000,1200.0,1200.0,1200.0,1200.0,6000000
1428262200000,1200.0,1200.0,1200.0,1200.0,36000000
1432409400000,1200.0,1200.0,1200.0,1200.0,6000000
1449952200000,1201.0,1201.0,1201.0,1201.0,120100
1462303800000,701.0,701.0,701.0,701.0,10515000
1465241400000,723.0,723.0,723.0,723.0,2802348
1472326200000,510.0,510.0,510.0,510.0,7650000
1480969800000,552.0,552.0,552.0,552.0,8280000
1483907400000,560.0,554.0,560.0,554.0,1119190
1484339400000,552.0,552.0,552.0,552.0,74520
1485117000000,600.0,550.0,600.0,550.0,8607480
1490473800000,610.0,610.0,610.0,610.0,54900
1491766200000,671.0,671.0,671.0,671.0,10065000
1492284600000,738.0,738.0,738.0,738.0,11070000
1492975800000,811.0,811.0,811.0,811.0,6488000
1493148600000,892.0,892.0,892.0,892.0,13148080
1493407800000,981.0,981.0,981.0,981.0,23613651
1493580600000,1079.0,1079.0,1079.0,1079.0,18202730
1493667000000,1186.0,1186.0,1186.0,1186.0,12788638
1493753400000,1304.0,1300.0,1304.0,1304.0,589132196
1494012600000,1434.0,1304.0,1304.0,1425.0,265977861
1494099000000,1434.0,1399.0,1434.0,1419.0,52406018
1494185400000,1561.0,1285.0,1560.0,1285.0,87948592
1494271800000,1224.0,1224.0,1224.0,1224.0,14688000
1494358200000,1340.0,1102.0,1102.0,1103.0,130015978
1494617400000,1214.0,1170.0,1170.0,1214.0,34528030
1494703800000,1320.0,1201.0,1201.0,1310.0,14572278
1494790200000,1350.0,1179.0,1350.0,1348.0,32773336
1494876600000,1318.0,1300.0,1318.0,1318.0,46959908
1495222200000,1441.0,1180.0,1431.0,1416.0,23382365
1495308600000,1379.0,1223.0,1223.0,1379.0,15223360
1495567800000,1114.0,1113.0,1113.0,1113.0,46867865
1495827000000,1224.0,1224.0,1224.0,1224.0,63202464
1495999800000,1277.0,1102.0,1102.0,1102.0,28590070
1496172600000,1205.0,1200.0,1200.0,1205.0,25944000
1496691000000,1084.0,1084.0,1084.0,1084.0,27595388
1497382200000,1192.0,1100.0,1100.0,1192.0,39621800
1497641400000,1220.0,1100.0,1220.0,1220.0,13440000
1498246200000,1055.0,1050.0,1055.0,1050.0,54109930
1498332600000,1048.0,1010.0,1048.0,1010.0,24289486
1498851000000,1088.0,918.0,1088.0,918.0,22138896
1498937400000,1017.0,999.0,999.0,1017.0,36410750
1499023800000,1104.0,1000.0,1104.0,1100.0,10104168
1499110200000,1162.0,1001.0,1162.0,1002.0,24934056
1499196600000,1110.0,1078.0,1110.0,1079.0,5668946
1499542200000,1008.0,980.0,1008.0,980.0,24327408
1499628600000,1084.0,1083.0,1084.0,1083.0,11529480
1499801400000,1161.0,975.0,975.0,1030.0,17821990
1500060600000,1140.0,1040.0,1050.0,1140.0,298786425
1500147000000,1237.0,1162.0,1162.0,1237.0,264324515
1500233400000,1337.0,1111.0,1355.0,1111.0,98677590
1502566200000,1300.0,1120.0,1200.0,1200.0,171606040
1502652600000,1231.0,1141.0,1220.0,1186.0,103453955
1502739000000,1265.0,1200.0,1265.0,1200.0,3875475
1503084600000,1211.0,1150.0,1160.0,1211.0,2855175
1503343800000,1120.0,1010.0,1100.0,1120.0,249558440
1503430200000,1170.0,1170.0,1170.0,1170.0,11902410
1503689400000,1150.0,1150.0,1150.0,1150.0,9894600
1503775800000,1354.0,1150.0,1250.0,1150.0,23726604
1503862200000,1150.0,1150.0,1150.0,1150.0,14777500
1503948600000,1250.0,1144.0,1150.0,1250.0,22885216
1504035000000,1288.0,1150.0,1288.0,1151.0,13122785
1504294200000,1250.0,1250.0,1250.0,1250.0,1005000
1504467000000,1220.0,1112.0,1220.0,1112.0,5586288
1504553400000,1205.0,1060.0,1060.0,1205.0,1961230
1504985400000,1175.0,1060.0,1060.0,1174.0,26909494
1505071800000,1174.0,1174.0,1174.0,1174.0,15337136
