date,open,high,low,adjClose,value,volume,count,yesterday,close
2021-02-03,19500.0,20500.0,19500.0,20477.0,4095411385105,199999449,3726219,1000.0,20500.0
2021-02-06,21500.0,21500.0,21500.0,20801.0,16611523500,772629,15149,20477.0,21500.0
2021-02-07,21841.0,21841.0,21841.0,21567.0,39271384778,1798058,13844,20801.0,21841.0
2021-02-08,22645.0,22645.0,22645.0,22343.0,39816205310,1758278,14178,21567.0,22645.0
2021-02-09,23460.0,23460.0,23460.0,23315.0,49858247700,2125245,16087,22343.0,23460.0
2021-02-13,24713.0,24713.0,24713.0,24713.0,58745494717,2377109,24710,23315.0,24713.0
2021-02-14,26195.0,26195.0,26195.0,26195.0,62666796205,2392319,23693,24713.0,26195.0
2021-02-15,27766.0,27766.0,27766.0,27766.0,110633266042,3984487,29427,26195.0,27766.0
2021-02-16,29431.0,29431.0,29431.0,29431.0,159833080163,5430773,54114,27766.0,29431.0
2021-02-17,31196.0,31196.0,28843.0,31196.0,372591348462,11943566,164121,29431.0,31196.0
2021-02-22,30573.0,30573.0,30573.0,30573.0,81754403256,2674072,687,31196.0,30573.0
2021-02-23,29962.0,29970.0,29962.0,29962.0,591571053154,19744009,53521,30573.0,29962.0
2021-02-24,29363.0,30538.0,29363.0,29537.0,760987398092,25763456,151311,29962.0,29612.0
2021-02-27,28947.0,29145.0,28947.0,28949.0,232432774102,8029073,35203,29537.0,28947.0
2021-02-28,28371.0,28371.0,28371.0,28371.0,119261044875,4203625,11372,28949.0,28371.0
2021-03-01,27804.0,30073.0,27804.0,29050.0,1221729396345,42055582,341533,28371.0,29650.0
2021-03-02,29654.0,30793.0,29654.0,30666.0,1135870663736,37040017,313517,29050.0,30793.0
2021-03-03,31900.0,32505.0,31000.0,32388.0,1508078473919,46563456,170259,30666.0,32505.0
2021-03-06,31741.0,33800.0,31741.0,32341.0,1568208523519,48490339,158335,32388.0,31902.0
2021-03-07,31820.0,32900.0,31695.0,31924.0,756551262095,23698240,61288,32341.0,31695.0
2021-03-08,31810.0,32497.0,31296.0,31691.0,627250232442,19792826,130614,31924.0,31570.0
2021-03-09,31300.0,32650.0,31300.0,32138.0,501789613238,15613606,110154,31691.0,32000.0
2021-03-10,32000.0,34066.0,31496.0,33419.0,516489518137,15455024,41567,32138.0,34066.0
2021-03-13,35424.0,35424.0,34675.0,35418.0,342868302463,9680709,22108,33419.0,35424.0
2021-03-14,37543.0,37543.0,35821.0,37010.0,1125775033166,30418150,38234,35418.0,35999.0
2021-03-15,36270.0,38800.0,36270.0,37078.0,1047255480673,28244440,38254,37010.0,36800.0
2021-03-16,36860.0,38000.0,36440.0,37100.0,473717842605,12768516,28959,37078.0,37110.0
