date,open,high,low,adjClose,value,volume,count,yesterday,close
2020-07-29,39750.0,39750.0,39750.0,39750.0,6749542288500,169799806,5049512,1000.0,39750.0
2020-08-01,41730.0,41730.0,41730.0,41730.0,216848567910,5196467,2866,39750.0,41730.0
2020-08-02,43810.0,43810.0,43810.0,43810.0,56060327440,1279624,2989,41730.0,43810.0
2020-08-03,46000.0,46000.0,46000.0,46000.0,110853606000,2409861,3188,43810.0,46000.0
2020-08-04,48300.0,48300.0,48300.0,48300.0,166596987900,3449213,3546,46000.0,48300.0
2020-08-05,50710.0,50710.0,50710.0,50710.0,194559209130,3836703,3858,48300.0,50710.0
2020-08-09,53240.0,53240.0,53240.0,53240.0,85193636440,1600181,6570,50710.0,53240.0
2020-08-10,55900.0,55900.0,55900.0,55900.0,89487626800,1600852,3520,53240.0,55900.0
2020-08-11,58690.0,58690.0,58690.0,58690.0,81697477730,1392017,3475,55900.0,58690.0
2020-08-12,61620.0,61620.0,61620.0,61620.0,96215809560,1561438,2174,58690.0,61620.0
2020-08-15,64700.0,64700.0,64700.0,64700.0,141045935300,2179999,5834,61620.0,64700.0
2020-08-16,67930.0,67930.0,67930.0,67930.0,134627002570,1981849,5808,64700.0,67930.0
2020-08-17,71320.0,71320.0,71320.0,71320.0,111341503280,1561154,15562,67930.0,71320.0
2020-08-18,74880.0,74880.0,71320.0,74850.0,2236513171900,29880270,71741,71320.0,74880.0
2020-08-19,78500.0,78590.0,71110.0,77910.0,1891125213410,24272223,141373,74850.0,78590.0
2020-08-22,81800.0,81800.0,81800.0,81800.0,861606353000,10533085,60999,77910.0,81800.0
2020-09-01,81510.0,85500.0,77440.0,80810.0,1182440486430,14633226,80992,81440.0,77440.0
2020-09-02,76770.0,79500.0,76770.0,76860.0,1758070161210,22874101,153494,80810.0,77000.0
2020-09-05,76800.0,79550.0,73020.0,74500.0,1224639573610,16438539,188076,76860.0,76990.0
2020-09-06,77850.0,77850.0,70780.0,73620.0,780425108270,10601255,110192,74500.0,70780.0
2020-09-07,69940.0,69960.0,69940.0,69940.0,343910082450,4917209,47310,73620.0,69940.0
2020-09-08,70700.0,70700.0,66450.0,68200.0,306478742820,4494039,40210,69940.0,66450.0
2020-09-09,64790.0,71610.0,64790.0,69480.0,1430692777990,20592304,121287,68200.0,71610.0
2020-09-12,72950.0,72950.0,71000.0,72880.0,489994263240,6723096,44385,69480.0,72950.0
2020-09-13,73750.0,75990.0,69240.0,71560.0,631627519660,8825971,58742,72880.0,71750.0
2020-09-14,71720.0,73500.0,68500.0,71670.0,460815131070,6429334,61720,71560.0,72360.0
2020-09-15,72100.0,75250.0,68090.0,74450.0,534937957530,7185414,56609,71670.0,75250.0
2020-09-16,76800.0,78170.0,70730.0,73050.0,563870386550,7718469,71339,74450.0,72200.0
2020-09-19,69400.0,69400.0,69400.0,69400.0,49930315800,719457,13839,73050.0,69400.0
2020-09-20,65930.0,65930.0,65930.0,68120.0,16606052820,251874,745,69400.0,65930.0
2020-09-21,64720.0,64720.0,64720.0,67440.0,8861721280,136924,384,68120.0,64720.0
2020-09-22,64070.0,64070.0,64070.0,66320.0,14559330870,227241,467,67440.0,64070.0
2020-09-23,63010.0,63010.0,63010.0,64700.0,21172872240,336024,915,66320.0,63010.0
2020-09-26,61470.0,61470.0,61470.0,64120.0,8466017220,137726,458,64700.0,61470.0
2020-09-27,60920.0,60920.0,60920.0,62750.0,20121876000,330300,269,64120.0,60920.0
2020-09-28,59620.0,59620.0,59620.0,62610.0,2063567440,34612,135,62750.0,59620.0
2020-09-29,59480.0,59480.0,59480.0,62240.0,5426717280,91236,226,62610.0,59480.0
2020-09-30,59130.0,59130.0,59130.0,61710.0,7780561920,131584,336,62240.0,59130.0
2020-10-03,58630.0,64000.0,58630.0,59730.0,716596018260,11997551,133138,61710.0,61360.0
2020-10-04,59510.0,59730.0,56750.0,57100.0,378557119540,6629706,44509,59730.0,56750.0
2020-10-05,54250.0,54250.0,54250.0,55370.0,26745738250,493009,5419,57100.0,54250.0
2020-10-06,53600.0,58130.0,53600.0,57010.0,362594614020,6359789,74470,55370.0,58130.0
2020-10-07,58500.0,59800.0,55500.0,57590.0,259486610870,4505390,54929,57010.0,57560.0
2020-10-10,55100.0,60400.0,54720.0,58070.0,391768546000,6746352,57805,57590.0,60000.0
2020-10-11,60000.0,60970.0,58070.0,60150.0,354452008650,5892406,52063,58070.0,58170.0
2020-10-12,57300.0,58880.0,57150.0,57320.0,184726822230,3223002,31804,60150.0,57160.0
2020-10-13,54550.0,56000.0,54460.0,54620.0,148142188680,2712060,20044,57320.0,54460.0
2020-10-14,53200.0,53300.0,51890.0,52000.0,187842277540,3612565,23315,54620.0,51890.0
2020-10-18,50060.0,50500.0,49400.0,49940.0,175047750300,3505115,31339,52000.0,49400.0
2020-10-19,47450.0,47500.0,47450.0,47710.0,40868816340,861283,7046,49940.0,47450.0
2020-10-20,45330.0,50000.0,45330.0,47170.0,215834183400,4575609,36053,47710.0,49050.0
2020-10-21,48000.0,49100.0,45210.0,46940.0,174197691860,3710868,28501,47170.0,45800.0
2020-10-24,45800.0,45800.0,44600.0,45360.0,35044886360,782445,4094,46940.0,44600.0
2020-10-26,43100.0,47620.0,43100.0,46500.0,278905765890,5998387,45741,45360.0,47620.0
2020-10-27,48820.0,48820.0,48820.0,48820.0,199497071600,4086380,26386,46500.0,48820.0
2020-10-28,51260.0,51260.0,51260.0,51260.0,174686852340,3407859,20232,48820.0,51260.0
2020-10-31,53820.0,53820.0,50260.0,52660.0,447706280560,8501636,21612,51260.0,51750.0
2020-11-01,50030.0,51000.0,50030.0,50050.0,147333587200,2943981,6077,52660.0,50030.0
2020-11-02,49900.0,52490.0,47550.0,49840.0,227534579280,4565551,23866,50050.0,50710.0
2020-11-04,48050.0,50800.0,47450.0,48770.0,147576492700,3026116,20923,49840.0,49860.0
2020-11-07,48500.0,48650.0,46340.0,46830.0,61491441770,1313172,4908,48770.0,46340.0
2020-11-08,44490.0,44490.0,44490.0,46020.0,15881951220,356978,362,46830.0,44490.0
2020-11-09,46020.0,48320.0,44660.0,47320.0,280352791020,5924337,36575,46020.0,48320.0
2020-11-10,48320.0,49100.0,46960.0,47870.0,136985360770,2861672,22862,47320.0,47900.0
2020-11-11,47970.0,49000.0,46520.0,47920.0,215390990570,4494569,21840,47870.0,47980.0
2020-11-14,48000.0,50310.0,48000.0,50110.0,200796370430,4007506,20176,47920.0,50310.0
2020-11-15,51000.0,51950.0,47610.0,48710.0,220372237580,4524216,19019,50110.0,47610.0
2020-11-16,47110.0,51000.0,47110.0,49580.0,75336454200,1519527,3196,48710.0,50840.0
2020-11-17,52600.0,52800.0,50330.0,51660.0,309736316040,5995304,26041,49580.0,52000.0
2020-11-18,50600.0,53000.0,50510.0,51700.0,413421836470,7995914,36203,51660.0,52390.0
2020-11-21,52800.0,52800.0,49120.0,50130.0,185580015470,3702095,19581,51700.0,49120.0
2020-11-22,49000.0,50000.0,47630.0,48390.0,217888693200,4502608,22063,50130.0,47630.0
2020-11-23,48000.0,49500.0,46510.0,47850.0,196555157590,4107429,27210,48390.0,47780.0
2020-11-24,48000.0,50240.0,47080.0,49790.0,457242128210,9182854,37877,47850.0,50240.0
2020-11-25,50000.0,52270.0,49500.0,52000.0,406474267790,7817338,31354,49790.0,52270.0
2020-11-28,52800.0,54350.0,50000.0,52500.0,401182649880,7641714,33229,52000.0,52760.0
2020-11-29,53890.0,55120.0,52750.0,54740.0,233680431640,4268827,24925,52500.0,55120.0
2020-11-30,56900.0,57470.0,54810.0,56220.0,349781062340,6221188,29531,54740.0,54920.0
2020-12-01,53420.0,57500.0,53410.0,54730.0,320661491150,5858701,31299,56220.0,53810.0
2020-12-02,53100.0,55990.0,53100.0,55120.0,348116764510,6315196,32884,54730.0,55800.0
2020-12-05,56000.0,57870.0,55000.0,57040.0,248004318580,4347628,30324,55120.0,57870.0
2020-12-06,59380.0,59890.0,57770.0,59410.0,355822904900,5989498,34633,57040.0,59880.0
2020-12-07,59940.0,62380.0,56440.0,59720.0,771092321990,12912198,63834,59410.0,60500.0
