date,open,high,low,adjClose,value,volume,count,yesterday,close
2020-11-15,4900.0,4900.0,4410.0,4541.0,121056994447,26655791,6774,1000.0,4560.0
2020-11-16,4520.0,4800.0,4100.0,4631.0,107832920730,23282742,5627,4541.0,4770.0
2020-11-17,4850.0,4865.0,4581.0,4789.0,65237769287,13622023,3153,4631.0,4810.0
2020-11-18,4810.0,4970.0,4500.0,4717.0,121903196550,25843228,6701,4789.0,4800.0
2020-11-21,4690.0,4800.0,4280.0,4481.0,58052085618,12954997,3293,4717.0,4300.0
2020-11-22,4300.0,4440.0,4100.0,4263.0,24262994681,5691085,1470,4481.0,4250.0
2020-11-23,4130.0,4690.0,4130.0,4567.0,84582356353,18518547,4563,4263.0,4690.0
2020-11-24,4700.0,4950.0,4580.0,4770.0,103217131882,21639146,5288,4567.0,4720.0
2020-11-25,4800.0,5180.0,4540.0,4996.0,108061626166,21629142,4866,4770.0,5070.0
2020-11-28,4900.0,5170.0,4800.0,4959.0,66612046905,13431880,3665,4996.0,4849.0
2020-11-29,4900.0,5040.0,4700.0,4877.0,88738099930,18194576,3642,4959.0,4960.0
2020-11-30,5089.0,5360.0,4940.0,5264.0,154487274458,29346476,6470,4877.0,5360.0
2020-12-01,5290.0,5769.0,5152.0,5531.0,169111984048,30573058,6759,5264.0,5449.0
2020-12-02,5530.0,5650.0,5030.0,5302.0,81231099904,15320213,3680,5531.0,5300.0
2020-12-05,5270.0,5495.0,4983.0,5380.0,96169398281,17876912,4245,5302.0,5430.0
2020-12-06,5410.0,5590.0,5070.0,5274.0,104413957658,19796995,4422,5380.0,5119.0
2020-12-07,5065.0,5380.0,4960.0,5141.0,80668413808,15691818,3583,5274.0,4980.0
2020-12-08,5010.0,5240.0,4970.0,5108.0,87224761125,17077747,3984,5141.0,5190.0
2020-12-09,5199.0,5449.0,5065.0,5281.0,89006400603,16855567,4238,5108.0,5360.0
2020-12-12,5400.0,5550.0,5251.0,5407.0,86352748810,15969708,3595,5281.0,5273.0
2020-12-13,5273.0,5360.0,5120.0,5259.0,46279118945,8799175,2052,5407.0,5341.0
2020-12-14,5261.0,5590.0,4910.0,5259.0,95787915999,18214103,4663,5259.0,5040.0
2020-12-15,4980.0,4980.0,4730.0,4786.0,61141129946,12774814,2912,5259.0,4839.0
2020-12-16,4600.0,5099.0,4600.0,4951.0,58245566259,11764564,2776,4786.0,5019.0
2020-12-19,5030.0,5222.0,4973.0,5119.0,54230557787,10594386,2567,4951.0,5110.0
2020-12-20,5100.0,5250.0,4822.0,4975.0,30910807771,6213368,1728,5119.0,4950.0
2020-12-21,4950.0,5350.0,4870.0,5184.0,98881084639,19073472,3798,4975.0,5300.0
2020-12-22,5260.0,5500.0,5180.0,5309.0,64909696161,12226127,2534,5184.0,5200.0
2020-12-23,5300.0,5603.0,5300.0,5458.0,73151868236,13402855,3040,5309.0,5410.0
2020-12-26,5440.0,5580.0,5140.0,5369.0,96072783387,17893466,4008,5458.0,5400.0
2020-12-27,5500.0,5510.0,5115.0,5284.0,44440167244,8410286,2050,5369.0,5200.0
2020-12-28,5115.0,5150.0,4990.0,5056.0,43913899063,8686092,2056,5284.0,5026.0
2020-12-29,5056.0,5200.0,4851.0,4923.0,38707957880,7862008,1490,5056.0,4898.0
2020-12-30,5000.0,5018.0,4490.0,4863.0,42579198894,8755231,1985,4923.0,4710.0
2021-01-02,4700.0,4700.0,4380.0,4440.0,75436778907,16988931,3573,4863.0,4400.0
2021-01-03,4450.0,4610.0,4260.0,4459.0,112504529923,25232925,4752,4440.0,4470.0
2021-01-04,4470.0,4670.0,4460.0,4623.0,99126710953,21440197,4880,4459.0,4630.0
2021-01-05,4630.0,4659.0,4460.0,4598.0,133563720828,29045580,5539,4623.0,4500.0
2021-01-06,4392.0,4500.0,4200.0,4299.0,168057426466,39094716,7348,4598.0,4331.0
2021-04-14,5900.0,6000.0,5900.0,5900.0,18016562000,3052902,32,4299.0,5950.0
2021-04-17,6000.0,6000.0,5700.0,5880.0,58800000,10000,4,5900.0,5700.0
2021-04-18,6000.0,6000.0,5710.0,5810.0,267105000,45950,7,5880.0,5710.0
2021-04-19,5900.0,5900.0,5900.0,5900.0,6672900,1131,1,5810.0,5900.0
2021-04-20,5900.0,5900.0,5710.0,5720.0,371540000,65000,5,5900.0,5710.0
2021-04-21,5700.0,5700.0,5700.0,5700.0,575700000,101000,2,5720.0,5700.0
2021-04-24,5600.0,5600.0,5600.0,5600.0,301016240000,53752900,273,5700.0,5600.0
2021-04-25,5600.0,5600.0,5500.0,5500.0,409778158000,74502756,385,5600.0,5500.0
2021-04-26,5410.0,5430.0,5410.0,5410.0,361421584620,66788368,674,5500.0,5410.0
