date,open,high,low,adjClose,value,volume,count,yesterday,close
2020-10-07,1240.0,1240.0,1240.0,1240.0,976924080,787842,17,1000.0,1240.0
2020-10-10,1300.0,1300.0,1300.0,1240.0,2352485200,1809604,92,1240.0,1300.0
2020-10-11,1300.0,1300.0,1300.0,1240.0,855588500,658145,29,1240.0,1300.0
2020-10-12,1300.0,1300.0,1300.0,1240.0,2541662500,1955125,71,1240.0,1300.0
2020-10-13,1300.0,1300.0,1300.0,1240.0,4446526500,3420405,199,1240.0,1300.0
2020-10-14,1290.0,1300.0,1180.0,1240.0,3531932220,2833365,232,1240.0,1270.0
2020-10-18,1270.0,1270.0,1180.0,1240.0,3089845890,2564692,204,1240.0,1200.0
2020-10-19,1180.0,1180.0,1180.0,1240.0,584461080,495306,46,1240.0,1180.0
2020-10-20,1180.0,1180.0,1180.0,1240.0,236990020,200839,25,1240.0,1180.0
2020-10-21,1180.0,1180.0,1180.0,1240.0,235048920,199194,34,1240.0,1180.0
2020-10-24,1180.0,1180.0,1180.0,1240.0,157213760,133232,17,1240.0,1180.0
2020-10-26,1180.0,1180.0,1180.0,1240.0,211620020,179339,25,1240.0,1180.0
2020-10-27,1180.0,1180.0,1180.0,1240.0,183452240,155468,21,1240.0,1180.0
2020-10-28,1180.0,1180.0,1180.0,1240.0,456385060,386767,33,1240.0,1180.0
2020-10-31,1180.0,1180.0,1180.0,1240.0,97508120,82634,13,1240.0,1180.0
2020-11-01,1180.0,1180.0,1180.0,1240.0,23270780,19721,6,1240.0,1180.0
2020-11-02,1180.0,1180.0,1180.0,1240.0,5489360,4652,1,1240.0,1180.0
2020-11-04,1180.0,1180.0,1180.0,1240.0,51881060,43967,6,1240.0,1180.0
2020-11-07,1180.0,1180.0,1180.0,1240.0,447419420,379169,13,1240.0,1180.0
2020-11-08,1180.0,1180.0,1180.0,1240.0,5310000,4500,1,1240.0,1180.0
2020-11-09,1180.0,1180.0,1180.0,1240.0,39297540,33303,5,1240.0,1180.0
2020-11-10,1180.0,1180.0,1180.0,1240.0,96919300,82135,13,1240.0,1180.0
2020-11-11,1180.0,1180.0,1180.0,1240.0,41649280,35296,7,1240.0,1180.0
2020-11-14,1180.0,1180.0,1180.0,1240.0,83745780,70971,10,1240.0,1180.0
2020-11-15,1180.0,1180.0,1180.0,1240.0,30106520,25514,4,1240.0,1180.0
2020-11-16,1180.0,1180.0,1180.0,1240.0,93612940,79333,4,1240.0,1180.0
2020-11-17,1180.0,1180.0,1180.0,1240.0,47002940,39833,5,1240.0,1180.0
2020-11-18,1180.0,1180.0,1180.0,1240.0,164599380,139491,10,1240.0,1180.0
2020-11-21,1180.0,1180.0,1180.0,1240.0,54680020,46339,8,1240.0,1180.0
2020-11-22,1180.0,1180.0,1180.0,1240.0,10979900,9305,2,1240.0,1180.0
2020-11-23,1180.0,1180.0,1180.0,1240.0,82585840,69988,6,1240.0,1180.0
2020-11-24,1180.0,1180.0,1180.0,1240.0,77307700,65515,6,1240.0,1180.0
2020-11-25,1180.0,1180.0,1180.0,1240.0,145140000,123000,4,1240.0,1180.0
2020-11-28,1180.0,1180.0,1180.0,1240.0,210710240,178568,9,1240.0,1180.0
2020-11-29,1180.0,1180.0,1180.0,1240.0,411075420,348369,22,1240.0,1180.0
2020-11-30,1180.0,1180.0,1180.0,1240.0,433165020,367089,21,1240.0,1180.0
2020-12-01,1180.0,1180.0,1180.0,1240.0,52200840,44238,7,1240.0,1180.0
2020-12-02,1180.0,1180.0,1180.0,1240.0,16048000,13600,4,1240.0,1180.0
2020-12-05,1180.0,1180.0,1180.0,1240.0,152866640,129548,8,1240.0,1180.0
2020-12-06,1180.0,1180.0,1180.0,1240.0,418208520,354414,18,1240.0,1180.0
2020-12-07,1180.0,1180.0,1180.0,1240.0,27804340,23563,6,1240.0,1180.0
2020-12-08,1180.0,1180.0,1180.0,1240.0,198767460,168447,10,1240.0,1180.0
2020-12-09,1180.0,1180.0,1180.0,1240.0,132712240,112468,10,1240.0,1180.0
2020-12-12,1180.0,1180.0,1180.0,1240.0,96665600,81920,9,1240.0,1180.0
2020-12-13,1180.0,1180.0,1180.0,1240.0,28600840,24238,3,1240.0,1180.0
2020-12-14,1180.0,1180.0,1180.0,1240.0,5900000,5000,1,1240.0,1180.0
2020-12-15,1180.0,1180.0,1180.0,1240.0,22173380,18791,4,1240.0,1180.0
2020-12-16,1180.0,1180.0,1180.0,1240.0,7870600,6670,1,1240.0,1180.0
2020-12-19,1180.0,1180.0,1180.0,1240.0,5900000,5000,2,1240.0,1180.0
2020-12-20,1120.0,1120.0,1120.0,1240.0,365118880,325999,36,1240.0,1120.0
2020-12-21,1180.0,1180.0,1180.0,1240.0,30326000,25700,3,1240.0,1180.0
2020-12-22,1180.0,1180.0,1180.0,1240.0,25950560,21992,4,1240.0,1180.0
2020-12-23,1180.0,1180.0,1180.0,1240.0,96618400,81880,7,1240.0,1180.0
2020-12-26,1180.0,1180.0,1180.0,1240.0,37354080,31656,7,1240.0,1180.0
2020-12-27,1180.0,1180.0,1180.0,1240.0,9949760,8432,1,1240.0,1180.0
2020-12-28,1180.0,1180.0,1180.0,1240.0,34584620,29309,4,1240.0,1180.0
2020-12-29,1180.0,1180.0,1180.0,1240.0,9962740,8443,1,1240.0,1180.0
2020-12-30,1180.0,1180.0,1180.0,1240.0,13827240,11718,2,1240.0,1180.0
2021-01-04,1180.0,1180.0,1180.0,1240.0,14762980,12511,1,1240.0,1180.0
2021-01-05,1180.0,1180.0,1180.0,1240.0,18880000,16000,3,1240.0,1180.0
2021-01-06,1180.0,1180.0,1180.0,1240.0,5900000,5000,1,1240.0,1180.0
2021-01-09,1180.0,1180.0,1180.0,1240.0,5900000,5000,2,1240.0,1180.0
2021-05-18,1178.0,1178.0,1178.0,1240.0,11191000,9500,2,1240.0,1178.0
2021-05-19,1178.0,1178.0,1178.0,1240.0,65421408,55536,10,1240.0,1178.0
2021-05-22,1178.0,1178.0,1178.0,1240.0,293634170,249265,7,1240.0,1178.0
2021-05-23,1178.0,1178.0,1178.0,1240.0,15006542,12739,1,1240.0,1178.0
2021-05-24,1178.0,1178.0,1178.0,1240.0,5080714,4313,1,1240.0,1178.0
2021-05-25,1178.0,1178.0,1178.0,1238.0,1689859848,1434516,17,1240.0,1178.0
2021-05-26,1177.0,1177.0,1177.0,1237.0,941600000,800000,14,1238.0,1177.0
2021-05-30,1176.0,1176.0,1176.0,1237.0,6010536,5111,1,1237.0,1176.0
2021-05-31,1176.0,1176.0,1176.0,1237.0,11760000,10000,1,1237.0,1176.0
2021-06-01,1176.0,1176.0,1176.0,1237.0,588000,500,1,1237.0,1176.0
2021-06-07,1176.0,1176.0,1176.0,1237.0,11289600,9600,2,1237.0,1176.0
2021-06-08,1176.0,1176.0,1176.0,1237.0,5880000,5000,1,1237.0,1176.0
2021-06-09,1176.0,1176.0,1176.0,1237.0,5080320,4320,1,1237.0,1176.0
2021-06-15,1114.0,1114.0,1114.0,1237.0,26305996,23614,4,1237.0,1114.0
2021-06-20,1176.0,1176.0,1176.0,1237.0,23520000,20000,3,1237.0,1176.0
2021-06-27,1176.0,1176.0,1176.0,1237.0,29400000,25000,2,1237.0,1176.0
2021-06-28,1176.0,1176.0,1176.0,1237.0,5880000,5000,1,1237.0,1176.0
2021-06-29,1114.0,1120.0,1114.0,1173.0,27859047514,25007809,528,1237.0,1114.0
2021-06-30,1115.0,1115.0,1115.0,1173.0,68047335,61029,4,1173.0,1115.0
2021-07-03,1115.0,1115.0,1115.0,1130.0,39573144035,35491609,566,1173.0,1115.0
2021-07-04,1074.0,1074.0,1074.0,1120.0,8741569536,8139264,152,1130.0,1074.0
2021-07-05,1064.0,1064.0,1064.0,1111.0,8623296528,8104602,157,1120.0,1064.0
2021-07-06,1056.0,1060.0,1056.0,1103.0,7628764108,7224049,152,1111.0,1056.0
2021-07-07,1048.0,1048.0,1048.0,1094.0,8468052744,8080203,159,1103.0,1048.0
2021-07-10,1040.0,1040.0,1040.0,1075.0,17804281040,17119501,279,1094.0,1040.0
2021-07-11,1022.0,1022.0,1022.0,1055.0,18763768744,18359852,335,1075.0,1022.0
2021-07-12,1003.0,1004.0,1003.0,1026.0,26415414409,26336360,471,1055.0,1003.0
2021-07-13,975.0,975.0,975.0,1002.0,21978411975,22541961,375,1026.0,975.0
2021-07-14,952.0,952.0,952.0,952.0,49271333104,51755602,805,1002.0,952.0
2021-07-17,905.0,952.0,905.0,905.0,45461867586,50231703,824,952.0,905.0
2021-07-18,860.0,860.0,860.0,861.0,40585229220,47192127,748,905.0,860.0
2021-07-19,818.0,818.0,818.0,818.0,39121740802,47826089,797,861.0,818.0
2021-07-26,778.0,778.0,778.0,778.0,37597409382,48325719,772,818.0,778.0
2021-07-27,740.0,740.0,740.0,740.0,37295746180,50399657,764,778.0,740.0
2021-07-28,703.0,703.0,703.0,740.0,94457189,134363,7,740.0,703.0
2021-07-31,703.0,703.0,703.0,740.0,33744000,48000,3,740.0,703.0
