date,open,high,low,adjClose,value,volume,count,yesterday,close
2021-02-07,10000.0,10000.0,10000.0,10000.0,386202670000,38620267,2699,10000.0,10000.0
2021-02-08,10000.0,10000.0,10000.0,10000.0,164729980000,16472998,2054,10000.0,10000.0
2021-02-09,10000.0,10000.0,10000.0,10000.0,99618480000,9961848,2820,10000.0,10000.0
2021-02-13,10000.0,10000.0,10000.0,10000.0,339448870000,33944887,5422,10000.0,10000.0
2021-03-16,10300.0,10550.0,10150.0,10370.0,46633214250,4498867,892,10000.0,10520.0
2021-03-17,10640.0,10640.0,10030.0,10210.0,78886865030,7729823,2058,10370.0,10200.0
2021-03-27,10410.0,10410.0,10050.0,10130.0,43724248560,4317732,916,10210.0,10130.0
2021-03-28,10110.0,10200.0,10000.0,10110.0,32351591590,3199700,663,10130.0,10150.0
2021-03-30,10150.0,10200.0,10060.0,10140.0,33896110620,3342509,478,10110.0,10150.0
2021-03-31,10100.0,10140.0,10000.0,10030.0,11896197240,1186290,386,10140.0,10020.0
2021-04-03,10030.0,10030.0,9760.0,9960.0,23985913190,2407497,344,10030.0,9830.0
2021-04-04,9910.0,9910.0,9580.0,9720.0,9834205880,1011795,286,9960.0,9600.0
2021-04-05,9390.0,9730.0,9380.0,9590.0,11892575800,1239598,276,9720.0,9620.0
2021-04-06,9650.0,9840.0,9400.0,9520.0,12005112080,1261256,260,9590.0,9490.0
2021-04-07,9550.0,9680.0,9500.0,9500.0,48272651150,5080980,255,9520.0,9500.0
2021-04-10,9400.0,9500.0,9400.0,9400.0,10624179500,1130089,197,9500.0,9400.0
2021-04-11,9300.0,9350.0,9300.0,9300.0,7410552530,796629,211,9400.0,9300.0
2021-04-12,9210.0,9450.0,9030.0,9300.0,14334693460,1541535,170,9300.0,9420.0
2021-04-13,9390.0,9830.0,9390.0,9550.0,2962519230,310221,152,9300.0,9520.0
2021-04-14,9410.0,9500.0,9300.0,9400.0,3226747340,343152,150,9550.0,9300.0
2021-04-17,9200.0,9400.0,9200.0,9310.0,4484127090,481534,110,9400.0,9340.0
2021-04-18,9120.0,9200.0,9100.0,9140.0,2444233590,267523,108,9310.0,9130.0
2021-04-19,9120.0,9290.0,9110.0,9150.0,2741907660,299724,81,9140.0,9220.0
2021-04-20,9200.0,9370.0,9100.0,9150.0,4264903430,465910,126,9150.0,9150.0
2021-04-21,9110.0,9210.0,9100.0,9100.0,4240328070,465860,84,9150.0,9100.0
2021-04-24,9100.0,9210.0,8910.0,9100.0,8578443320,942271,87,9100.0,9100.0
2021-04-25,9100.0,9100.0,9000.0,9030.0,1341348910,148577,82,9100.0,9060.0
2021-04-26,8900.0,9180.0,8880.0,9070.0,3302135150,363959,80,9030.0,9100.0
2021-04-27,9240.0,9250.0,9030.0,9130.0,1759929740,192715,120,9070.0,9080.0
2021-04-28,9150.0,9200.0,8860.0,9090.0,7942411320,874053,165,9130.0,9180.0
2021-05-01,9040.0,9270.0,8870.0,9000.0,3641633410,404562,80,9090.0,8990.0
2021-05-02,8990.0,9000.0,8810.0,8960.0,6994364720,780651,82,9000.0,8950.0
2021-05-03,9010.0,9010.0,8790.0,8940.0,24733940660,2765960,134,8960.0,8840.0
2021-05-05,8840.0,9180.0,8830.0,8930.0,10579858150,1184740,151,8940.0,9000.0
