date,open,high,low,adjClose,value,volume,count,yesterday,close
2017-12-09,10000.0,10000.0,10000.0,10000.0,42439980000,4243998,169,10000.0,10000.0
2017-12-10,10000.0,10000.0,10000.0,10000.0,41944430000,4194443,178,10000.0,10000.0
2017-12-11,10000.0,10000.0,10000.0,10000.0,27197120000,2719712,349,10000.0,10000.0
2017-12-12,10000.0,10000.0,10000.0,10000.0,119750000,11975,47,10000.0,10000.0
2017-12-13,10000.0,10000.0,10000.0,10000.0,10060680000,1006068,21,10000.0,10000.0
2017-12-16,10000.0,10000.0,10000.0,10000.0,10030000000,1003000,6,10000.0,10000.0
2017-12-17,10000.0,10000.0,10000.0,10000.0,7453630000,745363,20,10000.0,10000.0
2017-12-18,10000.0,10000.0,10000.0,10000.0,14371000000,1437100,15,10000.0,10000.0
2017-12-19,10000.0,10000.0,10000.0,10000.0,601820000,60182,8,10000.0,10000.0
2017-12-20,10000.0,10000.0,10000.0,10000.0,7160310000,716031,18,10000.0,10000.0
2018-03-12,10300.0,10300.0,10239.0,10250.0,868176811,84701,38,10000.0,10250.0
2018-03-14,10271.0,10320.0,10271.0,10313.0,507354177,49196,35,10250.0,10320.0
2018-03-17,10358.0,10358.0,10330.0,10338.0,166562315,16112,30,10313.0,10332.0
2018-03-18,10269.0,10313.0,10236.0,10289.0,410953745,39941,37,10338.0,10298.0
2018-03-19,10286.0,10288.0,10286.0,10286.0,1018316,99,2,10289.0,10288.0
2018-03-25,10311.0,10395.0,10311.0,10392.0,128550703,12370,7,10286.0,10395.0
2018-03-26,10400.0,10530.0,10400.0,10446.0,689434000,66000,6,10392.0,10530.0
2018-03-27,10750.0,10750.0,10670.0,10713.0,1170663695,109272,28,10446.0,10715.0
2018-03-28,10685.0,10710.0,10681.0,10695.0,155087100,14501,13,10713.0,10710.0
2018-04-03,10720.0,10950.0,10720.0,10754.0,561475555,52212,40,10695.0,10800.0
2018-04-04,10730.0,10801.0,10730.0,10792.0,1713012483,158723,18,10754.0,10800.0
2018-04-07,10872.0,11110.0,10800.0,10976.0,2396940006,218381,44,10792.0,11110.0
2018-04-08,11086.0,11430.0,11050.0,11269.0,2719958601,241370,77,10976.0,11430.0
2018-04-09,12000.0,12001.0,11390.0,11750.0,3870758423,329425,115,11269.0,11900.0
2018-04-10,11000.0,11467.0,10403.0,10771.0,3641766026,338112,123,11750.0,10600.0
2018-04-11,10550.0,10735.0,10400.0,10562.0,240909400,22810,17,10771.0,10650.0
2018-04-15,10950.0,10950.0,10750.0,10817.0,69264403,6403,16,10562.0,10750.0
2018-04-16,10900.0,11200.0,10900.0,10952.0,2721282990,248475,16,10817.0,11200.0
2018-04-17,11190.0,11300.0,11170.0,11220.0,2885134846,257144,40,10952.0,11170.0
2018-04-18,11000.0,11200.0,11000.0,11141.0,431022453,38688,11,11220.0,11100.0
2018-04-21,11100.0,11170.0,11092.0,11109.0,1245319782,112104,16,11141.0,11170.0
2018-04-22,11130.0,11150.0,11050.0,11118.0,9334042679,839529,29,11109.0,11051.0
