date,open,high,low,adjClose,value,volume,count,yesterday,close
2020-07-27,12010.0,12600.0,12010.0,12214.0,41975363443,3436641,1370,1000.0,12300.0
2020-07-28,12460.0,13400.0,12100.0,12640.0,252603551120,19977455,8109,12214.0,12400.0
2020-07-29,12780.0,12780.0,11980.0,12280.0,319114146900,25986291,7644,12640.0,12410.0
2020-08-01,12870.0,13500.0,12470.0,13080.0,170674691790,13048732,4651,12280.0,13000.0
2020-08-02,13500.0,14120.0,13020.0,13750.0,214297267380,15583612,2914,13080.0,13800.0
2020-08-03,14010.0,14130.0,12910.0,13180.0,104072082430,7895915,1688,13750.0,13000.0
2020-08-04,13110.0,13110.0,12630.0,12880.0,290037441400,22515778,4956,13180.0,13000.0
2020-08-05,12460.0,14170.0,12460.0,13470.0,251241923070,18645382,3216,12880.0,14000.0
2020-08-09,13920.0,14140.0,13330.0,13880.0,270669551030,19494997,2621,13470.0,14000.0
2020-08-10,13970.0,13970.0,12840.0,13180.0,181016466290,13731600,1748,13880.0,13000.0
2020-08-11,12700.0,12800.0,12000.0,12320.0,133084576080,10804681,1523,13180.0,12320.0
2020-08-25,11940.0,11940.0,10760.0,11500.0,39700626090,3453524,325,12320.0,11500.0
2020-08-26,12540.0,12650.0,12540.0,12640.0,83477468990,6603577,1151,11500.0,12650.0
2020-08-31,13610.0,13750.0,11380.0,12760.0,206561664240,16192187,2451,12640.0,12630.0
2020-09-01,11550.0,12470.0,11480.0,11680.0,91717253430,7851680,1649,12760.0,11490.0
2020-09-02,10990.0,11370.0,10610.0,10850.0,67039778140,6176073,1393,11680.0,11130.0
2020-09-05,11900.0,11940.0,10120.0,11530.0,138776790220,12039585,2542,10850.0,11940.0
2020-09-06,12330.0,12330.0,10850.0,11310.0,137147508970,12122511,1695,11530.0,10900.0
2020-09-07,10390.0,10580.0,10180.0,10210.0,103234068800,10107630,1077,11310.0,10180.0
2020-09-08,9190.0,9250.0,9190.0,9190.0,106671600050,11606760,1080,10210.0,9200.0
2020-09-09,8600.0,10110.0,8600.0,9670.0,149772724530,15495429,2056,9190.0,10110.0
2020-09-12,10300.0,10610.0,10000.0,10300.0,74711030930,7256952,1530,9670.0,10300.0
2020-09-13,10310.0,10530.0,9440.0,9890.0,72739043790,7357445,1151,10300.0,10060.0
2020-09-14,9970.0,10880.0,9450.0,10620.0,165612744540,15588055,1840,9890.0,10880.0
2020-09-15,11400.0,11630.0,10670.0,11430.0,107668235830,9420464,1541,10620.0,11600.0
2020-09-16,11900.0,12300.0,10510.0,11530.0,180526753600,15661343,2438,11430.0,11310.0
2020-09-19,10670.0,11910.0,10380.0,11420.0,154754356000,13548699,2217,11530.0,11300.0
2020-09-20,11160.0,11160.0,10420.0,10630.0,80831904010,7604241,1692,11420.0,10590.0
2020-09-21,9660.0,10250.0,9660.0,10020.0,102760692480,10251571,1368,10630.0,10200.0
2020-09-22,10150.0,10400.0,9510.0,9990.0,119824180740,11997709,1993,10020.0,10100.0
2020-09-23,9790.0,10400.0,9730.0,10010.0,310101806280,30994537,4792,9990.0,10010.0
2021-01-04,8000.0,8800.0,8000.0,8100.0,675476474700,83410132,2006,10010.0,8300.0
2021-01-05,8910.0,8910.0,8100.0,8100.0,246004594950,30368482,604,8100.0,8100.0
2021-01-06,8100.0,8100.0,7950.0,7950.0,192529445050,24217084,424,8100.0,7950.0
2021-01-09,8000.0,8000.0,8000.0,8000.0,76102472000,9512809,183,7950.0,8000.0
2021-01-10,8000.0,8800.0,8000.0,8020.0,516974097590,64427477,1128,8000.0,8120.0
2021-01-11,8820.0,8820.0,8020.0,8070.0,308110928790,38168112,704,8020.0,8120.0
2021-01-12,8880.0,8880.0,8000.0,8000.0,25929949520,3240430,65,8070.0,8000.0
2021-01-13,8500.0,8800.0,7940.0,7960.0,143793933600,18074242,349,8000.0,8000.0
2021-01-16,8000.0,8000.0,7800.0,7960.0,5013144170,629567,25,7960.0,7800.0
