date,open,high,low,adjClose,value,volume,count,yesterday,close
2020-08-25,1382010.0,1382010.0,1382010.0,1382010.0,4999998855180,3617918,45,1382010.0,1382010.0
2020-08-26,1382010.0,1382654.0,1382010.0,1382256.0,76024074,55,5,1382010.0,1382654.0
2020-09-06,1382654.0,1382654.0,1382654.0,1382654.0,5530616,4,1,1382256.0,1382654.0
2020-09-12,1382654.0,1394900.0,1382654.0,1394892.0,71863424490,51519,2,1382654.0,1394900.0
2020-09-15,1396350.0,1396350.0,1396350.0,1396350.0,201074400000,144000,1,1394892.0,1396350.0
2020-10-11,1382654.0,1382654.0,1382654.0,1382654.0,13826540,10,1,1396350.0,1382654.0
2020-10-12,1382654.0,1382654.0,1382654.0,1382654.0,20739810,15,1,1382654.0,1382654.0
2020-10-19,1382654.0,1382654.0,1382654.0,1382654.0,5530616,4,1,1382654.0,1382654.0
2020-11-15,1382654.0,1382654.0,1382654.0,1382654.0,30418388,22,1,1382654.0,1382654.0
2020-11-18,1382654.0,1382654.0,1382654.0,1382654.0,6913270,5,1,1382654.0,1382654.0
2020-12-23,1382654.0,1382654.0,1382654.0,1382654.0,19357156,14,1,1382654.0,1382654.0
2021-02-28,1382654.0,1382654.0,1382654.0,1382654.0,5530616,4,1,1382654.0,1382654.0
2021-03-06,1518137.0,1518137.0,1518137.0,1518137.0,19969574098,13154,2,1382654.0,1518137.0
2021-09-04,1649965.0,1649965.0,1649965.0,1649965.0,499939395000,303000,7,1518137.0,1649965.0
2021-10-06,1665935.0,1665935.0,1665935.0,1665935.0,200078793500,120100,3,1649965.0,1665935.0
2021-10-09,1665900.0,1667230.0,1665900.0,1667228.0,50016846800,30000,11,1665935.0,1667230.0
2021-10-10,1668725.0,1668725.0,1668725.0,1668725.0,50061750000,30000,6,1667228.0,1668725.0
2021-10-11,1668726.0,1668726.0,1668726.0,1668726.0,100123560000,60000,12,1668725.0,1668726.0
