date,open,high,low,adjClose,value,volume,count,yesterday,close
2003-03-01,50.0,50.0,50.0,50.0,500000,10000,4,50.0,50.0
2003-03-02,62.0,62.0,62.0,62.0,558000,9000,4,50.0,62.0
2004-06-01,2650.0,2650.0,2221.0,2644.0,53652762,20292,5,62.0,2644.0
2004-06-02,2586.0,2586.0,2493.0,2501.0,598517198,239302,15,2644.0,2501.0
2004-06-05,2590.0,2751.0,2590.0,2727.0,20494760372,7456179,99,2501.0,2727.0
2004-06-06,2727.0,2851.0,2727.0,2806.0,12044318410,4234251,79,2727.0,2806.0
2004-06-07,3000.0,3086.0,2800.0,3030.0,6046042835,2000078,54,2806.0,3030.0
2004-06-08,3330.0,3333.0,3122.0,3199.0,924667532,289028,87,3030.0,3199.0
2004-06-09,3199.0,3200.0,2900.0,2931.0,481726410,164330,40,3199.0,2931.0
2004-06-12,2932.0,2933.0,2746.0,2891.0,229268610,79283,19,2931.0,2891.0
2004-06-13,2739.0,2750.0,2700.0,2744.0,243989470,88912,17,2891.0,2744.0
2004-06-14,2900.0,2902.0,2890.0,2895.0,393225648,135788,34,2744.0,2895.0
2004-06-15,2931.0,3000.0,2928.0,2978.0,330583575,110996,27,2895.0,2978.0
2004-06-16,2978.0,3199.0,2978.0,3071.0,532010605,173193,39,2978.0,3071.0
2004-06-19,3298.0,3298.0,3296.0,3297.0,836433538,253626,18,3071.0,3297.0
2004-06-20,3291.0,3291.0,3225.0,3269.0,670437944,205039,43,3297.0,3269.0
2004-06-21,3269.0,3269.0,3149.0,3165.0,298408485,94265,24,3269.0,3165.0
2004-06-22,3165.0,3165.0,3100.0,3163.0,391094470,123633,25,3165.0,3163.0
2004-06-23,3163.0,3201.0,3163.0,3163.0,422495823,133541,19,3163.0,3163.0
2004-06-26,3249.0,3290.0,3249.0,3260.0,278996260,85564,18,3163.0,3260.0
2004-06-27,3270.0,3276.0,3270.0,3273.0,79091149,24164,9,3260.0,3273.0
2004-06-28,3263.0,3263.0,3261.0,3261.0,98039262,30056,7,3273.0,3261.0
2004-06-29,3051.0,3051.0,3030.0,3049.0,54883390,18000,8,3261.0,3049.0
2004-06-30,3030.0,3030.0,3030.0,3030.0,75750000,25000,6,3049.0,3030.0
2004-07-03,3030.0,3100.0,3030.0,3085.0,122671936,39753,24,3030.0,3085.0
2004-07-04,3080.0,3100.0,3000.0,3053.0,129442830,42390,15,3085.0,3053.0
2004-07-05,3052.0,3053.0,3052.0,3052.0,65855796,21573,8,3053.0,3052.0
2004-07-06,3100.0,3179.0,3000.0,3063.0,322145786,105168,28,3052.0,3063.0
2004-07-07,3100.0,3100.0,3064.0,3089.0,108544630,35130,8,3063.0,3089.0
2004-07-10,3099.0,3265.0,3099.0,3221.0,190831970,59229,22,3089.0,3221.0
2004-07-11,3201.0,3300.0,3199.0,3214.0,49753852240,15078960,28,3221.0,3214.0
2004-07-12,3221.0,3223.0,3221.0,3221.0,3342843710,1037510,10,3214.0,3221.0
2004-07-13,3221.0,3273.0,3221.0,3243.0,300345922,92591,18,3221.0,3243.0
2004-07-14,3269.0,3567.0,3269.0,3469.0,40232885,11595,7,3243.0,3469.0
2004-07-17,3800.0,3800.0,3800.0,3800.0,20428800,5376,1,3469.0,3800.0
2004-07-18,4180.0,4180.0,3900.0,4025.0,79478242097,20367186,76,3800.0,4025.0
2004-07-19,4026.0,4151.0,4025.0,4080.0,330435508,80974,20,4025.0,4080.0
2004-07-20,4081.0,4092.0,4081.0,4086.0,132685996,32468,9,4080.0,4086.0
2004-12-25,1998.0,1999.0,1850.0,1910.0,352000973,184267,40,4086.0,1910.0
2004-12-26,1899.0,1906.0,1852.0,1883.0,656121754,348396,56,1910.0,1883.0
2004-12-27,1897.0,2000.0,1890.0,1922.0,2532127937,1280726,61,1883.0,1922.0
2004-12-28,1922.0,1955.0,1922.0,1933.0,7724550,3995,5,1922.0,1933.0
2004-12-29,2100.0,2126.0,2100.0,2117.0,110313370,52092,14,1933.0,2117.0
2005-01-01,2126.0,2191.0,2098.0,2128.0,147128967,69134,25,2117.0,2128.0
2005-01-02,2239.0,2340.0,2233.0,2279.0,496201686,217674,49,2128.0,2279.0
2005-01-03,2328.0,2351.0,2262.0,2313.0,856874832,370368,70,2279.0,2313.0
2005-01-04,2300.0,2309.0,2271.0,2299.0,4233824824,1840926,87,2313.0,2299.0
2005-01-05,2279.0,2300.0,2202.0,2297.0,25918788453,11269509,45,2299.0,2297.0
2005-01-08,2280.0,2280.0,2200.0,2208.0,892475995,404069,94,2297.0,2208.0
2005-01-09,2213.0,2250.0,2102.0,2228.0,270569354,121395,38,2208.0,2228.0
2005-01-10,2220.0,2220.0,2179.0,2197.0,1613972148,736823,62,2228.0,2197.0
2005-01-11,2180.0,2219.0,2160.0,2189.0,963768954,442064,57,2197.0,2189.0
2005-01-12,2189.0,2220.0,2180.0,2198.0,2818623994,1284601,55,2189.0,2198.0
2005-01-15,2175.0,2200.0,1990.0,2088.0,298256605,142825,33,2198.0,2088.0
2005-01-16,2018.0,2018.0,1980.0,1994.0,499640988,250559,68,2088.0,1994.0
2005-01-17,1910.0,1998.0,1900.0,1915.0,144429668,75403,33,1994.0,1915.0
2005-01-18,1903.0,1950.0,1903.0,1919.0,154621680,80551,19,1915.0,1919.0
2005-01-19,1932.0,1970.0,1902.0,1925.0,195855022,101710,30,1919.0,1925.0
2005-01-22,1917.0,1919.0,1900.0,1910.0,323145222,169110,23,1925.0,1910.0
2005-01-23,1922.0,1998.0,1922.0,1978.0,285208163,144703,20,1910.0,1978.0
2005-01-24,1990.0,2020.0,1990.0,1999.0,135458693,67747,32,1978.0,1999.0
2005-01-25,2001.0,2001.0,1935.0,1990.0,185656486,93269,31,1999.0,1990.0
2005-01-26,1920.0,1925.0,1920.0,1921.0,152473422,79333,24,1990.0,1921.0
2005-01-30,1927.0,1950.0,1900.0,1916.0,245729341,128221,30,1921.0,1916.0
2005-03-09,1725.0,1725.0,1725.0,1725.0,1725000,1000,1,1916.0,1725.0
2005-03-12,1553.0,1553.0,1553.0,1553.0,3106000,2000,1,1725.0,1553.0
2005-03-13,1398.0,1449.0,1398.0,1400.0,903170125,645088,176,1553.0,1400.0
2005-03-14,1288.0,1449.0,1261.0,1405.0,275186898,195756,83,1400.0,1405.0
2005-03-15,1451.0,1544.0,1449.0,1531.0,391871283,264940,30,1405.0,1531.0
2005-03-16,1542.0,1684.0,1542.0,1628.0,648951438,398424,120,1531.0,1628.0
2005-05-10,2005.0,2044.0,2005.0,2028.0,4680914120,2308002,56,1628.0,2028.0
2008-08-23,711.0,800.0,692.0,716.0,1804648591,2518975,424,2028.0,716.0
