date,open,high,low,adjClose,value,volume,count,yesterday,close
2002-10-16,250.0,250.0,250.0,250.0,682500,2730,1,0.0,250.0
2002-10-20,250.0,250.0,250.0,250.0,820500,3282,6,250.0,250.0
2002-10-21,250.0,250.0,250.0,250.0,68250,273,1,250.0,250.0
2002-10-23,250.0,252.0,250.0,250.0,657158,2623,5,250.0,250.0
2002-10-26,250.0,250.0,250.0,250.0,204750,819,3,250.0,250.0
2002-10-28,249.0,250.0,249.0,250.0,874482,3500,3,250.0,250.0
2002-10-29,247.0,248.0,247.0,247.0,1181630,4781,4,250.0,247.0
2002-10-30,247.0,247.0,247.0,247.0,232674,942,3,247.0,247.0
2002-11-03,245.0,245.0,245.0,245.0,490000,2000,1,247.0,245.0
2002-11-04,230.0,230.0,230.0,230.0,460000,2000,2,245.0,230.0
2002-11-05,229.0,229.0,220.0,220.0,72617911,318562,18,230.0,220.0
2002-11-06,220.0,250.0,200.0,250.0,5014469,22968,10,220.0,250.0
2002-11-09,249.0,250.0,247.0,250.0,162406641,651778,31,250.0,250.0
2002-11-10,250.0,250.0,250.0,250.0,107458750,429835,21,250.0,250.0
2002-11-11,249.0,250.0,247.0,250.0,103285826,413180,56,250.0,250.0
2002-11-12,250.0,251.0,249.0,251.0,40618625,162420,26,250.0,251.0
2003-01-01,600.0,672.0,600.0,672.0,1341746000,2048060,213,251.0,672.0
2003-01-04,675.0,675.0,675.0,675.0,559306350,828602,84,672.0,675.0
2003-08-25,1600.0,1600.0,1600.0,1600.0,8382400,5239,1,675.0,1600.0
2003-08-26,1600.0,1600.0,1599.0,1600.0,12806954,8005,6,1600.0,1600.0
2003-08-27,1599.0,1600.0,1599.0,1599.0,56449295,35300,10,1600.0,1599.0
2003-09-13,1576.0,1576.0,1440.0,1441.0,64770801,44958,13,1599.0,1441.0
2003-10-13,1700.0,2455.0,1700.0,2291.0,842815532,367768,39,1441.0,2291.0
2003-10-14,2293.0,2293.0,2291.0,2291.0,626860719,273609,31,2291.0,2291.0
2007-12-08,1005.0,1055.0,550.0,1016.0,192658429,189600,47,2291.0,1016.0
2007-12-09,1056.0,1056.0,1056.0,1056.0,246048,233,1,1016.0,1056.0
2007-12-10,1098.0,1098.0,1098.0,1098.0,2640797604,2405098,268,1056.0,1098.0
2007-12-11,1141.0,1141.0,1141.0,1141.0,22820000,20000,4,1098.0,1141.0
2007-12-12,1186.0,1186.0,1186.0,1186.0,1186000,1000,1,1141.0,1186.0
2007-12-15,1233.0,1233.0,1233.0,1233.0,1233000,1000,1,1186.0,1233.0
2007-12-16,1282.0,1282.0,1282.0,1282.0,12428598990,9694695,248,1233.0,1282.0
2007-12-17,1332.0,1332.0,1280.0,1294.0,530314659,408571,40,1282.0,1294.0
2007-12-18,1345.0,1345.0,1344.0,1344.0,1044741289,776770,146,1294.0,1344.0
2007-12-19,1291.0,1291.0,1291.0,1291.0,25820000,20000,4,1344.0,1291.0
2007-12-22,1240.0,1240.0,1240.0,1240.0,6200000,5000,1,1291.0,1240.0
2007-12-24,1191.0,1191.0,1191.0,1191.0,119100,100,1,1240.0,1191.0
2007-12-25,1144.0,1144.0,1144.0,1144.0,1667952,1458,6,1191.0,1144.0
2007-12-26,1099.0,1099.0,1099.0,1099.0,21980,20,1,1144.0,1099.0
2007-12-30,1068.0,1138.0,1056.0,1068.0,175502316,164239,42,1099.0,1068.0
2007-12-31,1100.0,1110.0,1098.0,1103.0,58812302,53295,16,1068.0,1103.0
2008-01-01,1097.0,1097.0,1059.0,1069.0,97230977,90871,18,1103.0,1069.0
2008-01-02,1098.0,1111.0,1062.0,1091.0,170898751,156578,37,1069.0,1091.0
2008-01-05,1050.0,1075.0,1050.0,1057.0,114741024,108510,24,1091.0,1057.0
2008-01-06,1050.0,1050.0,1050.0,1050.0,3085950,2939,1,1057.0,1050.0
2008-01-08,1050.0,1061.0,1050.0,1053.0,32454441,30810,12,1050.0,1053.0
2008-01-09,1056.0,1080.0,1051.0,1063.0,124561422,117127,28,1053.0,1063.0
2008-01-12,1063.0,1063.0,1063.0,1063.0,47941300,45100,18,1063.0,1063.0
2008-01-13,1021.0,1021.0,1021.0,1021.0,65344000,64000,14,1063.0,1021.0
2008-01-14,1021.0,1060.0,1020.0,1022.0,368262243,360112,83,1021.0,1022.0
2008-01-28,1020.0,1020.0,1020.0,1020.0,5365200,5260,1,1022.0,1020.0
2008-01-29,980.0,1019.0,980.0,980.0,209149280,213351,57,1020.0,980.0
2008-01-30,941.0,942.0,941.0,941.0,491438430,522230,140,980.0,941.0
2008-05-12,700.0,710.0,601.0,684.0,1034407240,1512982,156,941.0,684.0
