date,open,high,low,adjClose,value,volume,count,yesterday,close
2020-01-28,14000.0,14000.0,14000.0,14000.0,838974192000,59926728,1197365,1000.0,14000.0
2020-02-01,14700.0,14700.0,14700.0,14700.0,1899048900,129187,1164,14000.0,14700.0
2020-02-02,15435.0,15435.0,15435.0,15435.0,696164805,45103,925,14700.0,15435.0
2020-02-03,16206.0,16206.0,16206.0,16206.0,999342990,61665,1269,15435.0,16206.0
2020-02-04,17016.0,17016.0,17016.0,17016.0,1644324144,96634,1997,16206.0,17016.0
2020-02-05,17866.0,17866.0,17866.0,17866.0,1727499272,96692,2053,17016.0,17866.0
2020-02-08,18759.0,18759.0,18759.0,18759.0,1869690771,99669,2078,17866.0,18759.0
2020-02-09,19696.0,19696.0,19696.0,19696.0,2073614576,105281,2209,18759.0,19696.0
2020-02-10,20680.0,20680.0,20680.0,20680.0,3574496640,172848,3703,19696.0,20680.0
2020-02-12,21714.0,21714.0,21714.0,21714.0,572685036,26374,539,20680.0,21714.0
2020-02-16,22799.0,23938.0,22799.0,23927.0,138334803365,5781644,6000,21714.0,23938.0
2020-02-17,25123.0,25123.0,25123.0,25123.0,39904544141,1588367,4192,23927.0,25123.0
2020-02-18,26379.0,26379.0,26379.0,26379.0,6191467848,234712,4974,25123.0,26379.0
2020-02-19,27697.0,27697.0,27697.0,27697.0,11472706734,414222,9042,26379.0,27697.0
2020-02-22,29081.0,29081.0,29081.0,29081.0,455124716683,15650243,10246,27697.0,29081.0
2020-02-23,30535.0,30535.0,30535.0,30535.0,5702838740,186764,3958,29081.0,30535.0
2020-02-24,32061.0,32061.0,32061.0,32061.0,980147058459,30571319,11449,30535.0,32061.0
2020-02-25,33664.0,33664.0,33664.0,33664.0,183722458240,5457535,4676,32061.0,33664.0
2020-02-26,35347.0,35347.0,35347.0,35347.0,574873145288,16263704,9101,33664.0,35347.0
2020-02-29,37114.0,37114.0,35401.0,37069.0,818018535159,22067539,16887,35347.0,36900.0
2020-03-02,38922.0,40868.0,38922.0,39628.0,637925043776,16097783,32150,37069.0,40868.0
2020-03-03,41609.0,43689.0,41609.0,43442.0,91766979510,2112390,20264,39628.0,43689.0
2020-03-04,45614.0,45614.0,44900.0,45609.0,1576995342095,34576702,59791,43442.0,45614.0
2020-03-07,45632.0,47913.0,43351.0,47675.0,1383323564959,29015600,89425,45609.0,47913.0
2020-03-09,45292.0,45292.0,45292.0,45292.0,199043257764,4394667,17611,47675.0,45292.0
2020-03-10,43028.0,43028.0,43028.0,43028.0,85139503600,1978700,5153,45292.0,43028.0
2020-03-11,41630.0,45179.0,40877.0,41995.0,955753881111,22758859,142045,43028.0,40877.0
2020-03-14,39896.0,39896.0,39896.0,41052.0,21331952344,534689,1610,41995.0,39896.0
