date,open,high,low,adjClose,value,volume,count,yesterday,close
2017-09-13,155.0,155.0,155.0,155.0,3908934925,25218935,510,1000.0,155.0
2021-08-14,9279.0,9279.0,9094.0,9150.0,20025531584,2188701,202,155.0,9094.0
2021-08-25,7000.0,7000.0,7000.0,7000.0,3684660000,526380,71,9150.0,7000.0
2021-08-28,6860.0,6860.0,6860.0,6860.0,1744751820,254337,42,7000.0,6860.0
2021-08-29,6723.0,6723.0,6723.0,6723.0,204816195,30465,12,6860.0,6723.0
2021-08-31,6589.0,6830.0,6589.0,6590.0,244462457026,37095912,1082,6723.0,6589.0
2021-09-01,6459.0,6459.0,6459.0,6459.0,1772924451,274489,45,6590.0,6459.0
2021-09-04,6330.0,6330.0,6330.0,6330.0,6664559490,1052853,101,6459.0,6330.0
2021-09-05,6204.0,6399.0,6204.0,6218.0,59102286621,9504986,1269,6330.0,6204.0
2021-09-06,6220.0,6220.0,6094.0,6100.0,22172618037,3634588,495,6218.0,6094.0
2021-09-08,5917.0,5917.0,5917.0,5917.0,5449491913,920989,106,6100.0,5917.0
2021-09-11,5740.0,5740.0,5740.0,5740.0,2124907820,370193,55,5917.0,5740.0
2021-09-12,5568.0,5568.0,5568.0,5568.0,3035400768,545151,54,5740.0,5568.0
2021-09-13,5401.0,5401.0,5401.0,5401.0,1015841684,188084,30,5568.0,5401.0
2021-09-14,5239.0,5239.0,5239.0,5239.0,2915723538,556542,59,5401.0,5239.0
2021-09-15,5082.0,5396.0,5082.0,5192.0,41592528882,8011561,1112,5239.0,5350.0
2021-09-18,5347.0,5347.0,5037.0,5133.0,61045618060,11893097,1223,5192.0,5037.0
2021-09-19,5000.0,5080.0,4980.0,4984.0,52823944551,10599681,532,5133.0,5010.0
2021-09-20,4840.0,5133.0,4840.0,5121.0,10595972608,2069277,163,4984.0,5133.0
2021-09-21,5274.0,5274.0,5137.0,5257.0,29473937760,5606512,644,5121.0,5232.0
2021-09-22,5403.0,5403.0,5100.0,5117.0,52208764712,10202458,582,5257.0,5100.0
2021-09-25,5000.0,5250.0,4964.0,5008.0,29548133159,5900512,486,5117.0,4967.0
2021-09-26,4863.0,4978.0,4858.0,4861.0,9859857742,2028466,221,5008.0,4858.0
2021-09-28,4750.0,4750.0,4716.0,4717.0,15057437296,3192476,173,4861.0,4716.0
2021-09-29,4576.0,4688.0,4576.0,4577.0,16972520273,3708600,264,4717.0,4576.0
2021-10-02,4440.0,4500.0,4440.0,4441.0,9767394080,2199553,161,4577.0,4440.0
2021-10-03,4308.0,4308.0,4308.0,4308.0,5467356036,1269117,101,4441.0,4308.0
2021-10-04,4179.0,4437.0,4179.0,4265.0,30765384130,7213553,954,4308.0,4252.0
2021-10-06,4161.0,4250.0,4139.0,4157.0,13250406902,3187187,448,4265.0,4167.0
2021-10-09,4067.0,4281.0,4067.0,4179.0,7291124493,1744832,333,4157.0,4129.0
2021-10-10,4072.0,4190.0,4054.0,4080.0,8505020560,2084650,282,4179.0,4106.0
2021-10-11,4100.0,4170.0,4010.0,4081.0,5837497405,1430371,181,4080.0,4100.0
2021-10-12,4010.0,4100.0,3989.0,4034.0,3535295512,876350,202,4081.0,3992.0
2021-10-13,4029.0,4120.0,3913.0,3922.0,10035815229,2558720,269,4034.0,4000.0
2021-10-16,3870.0,4039.0,3870.0,4031.0,12144464873,3012781,145,3922.0,4039.0
2021-10-17,4046.0,4144.0,3918.0,3990.0,8933349855,2238868,208,4031.0,3923.0
2021-10-18,3872.0,4000.0,3871.0,3887.0,5889046601,1515076,171,3990.0,3900.0
2021-10-19,3800.0,3985.0,3771.0,3832.0,9664469420,2522212,183,3887.0,3801.0
2021-10-20,3930.0,3930.0,3719.0,3762.0,9871868134,2624346,241,3832.0,3800.0
2021-10-23,3670.0,3790.0,3650.0,3665.0,9339424982,2548304,188,3762.0,3680.0
2021-10-25,3600.0,3720.0,3556.0,3571.0,8092126286,2265807,173,3665.0,3557.0
2021-10-26,3511.0,3640.0,3496.0,3575.0,6044498953,1690809,169,3571.0,3609.0
2021-10-27,3510.0,3639.0,3478.0,3513.0,4421778995,1258844,166,3575.0,3515.0
2021-10-30,3580.0,3615.0,3408.0,3429.0,13725176342,4002447,380,3513.0,3415.0
2021-10-31,3415.0,3523.0,3327.0,3342.0,22871438004,6844350,333,3429.0,3431.0
2021-11-01,3440.0,3442.0,3390.0,3441.0,1018057684,295870,54,3342.0,3442.0
2021-11-02,3544.0,3544.0,3544.0,3544.0,459887160,129765,21,3441.0,3544.0
2021-11-03,3650.0,3650.0,3650.0,3650.0,9610628850,2633049,114,3544.0,3650.0
2021-11-06,3759.0,3759.0,3759.0,3759.0,7223610156,1921684,204,3650.0,3759.0
2021-11-07,3871.0,3871.0,3871.0,3871.0,17178839930,4437830,327,3759.0,3871.0
