date,open,high,low,adjClose,value,volume,count,yesterday,close
2009-10-10,20.0,20.0,20.0,20.0,1500000,75000,8,1000.0,20.0
2009-10-19,21.0,21.0,21.0,21.0,210,10,1,20.0,21.0
2010-04-06,50.0,50.0,50.0,50.0,5000000,100000,10,21.0,50.0
2010-04-07,47.0,47.0,47.0,47.0,7520000,160000,3,50.0,47.0
2010-04-10,44.0,44.0,44.0,44.0,58374932,1326703,21,47.0,44.0
2010-04-11,41.0,41.0,41.0,41.0,102500000,2500000,32,44.0,41.0
2010-04-12,39.0,39.0,39.0,39.0,97500000,2500000,32,41.0,39.0
