date,open,high,low,adjClose,value,volume,count,yesterday,close
2003-09-21,5.0,5.0,5.0,5.0,21330,4266,1,0.0,5.0
2003-09-22,5.0,5.0,5.0,5.0,67500000,13500000,1,5.0,5.0
2003-09-23,5.0,5.0,5.0,5.0,67500000,13500000,1,5.0,5.0
2003-09-28,5.0,5.0,5.0,5.0,17280,3456,4,5.0,5.0
2003-09-29,5.0,5.0,5.0,5.0,9875,1975,1,5.0,5.0
2003-09-30,5.0,5.0,5.0,5.0,67500000,13500000,3,5.0,5.0
2003-10-01,5.0,5.0,5.0,5.0,67500000,13500000,1,5.0,5.0
2003-10-04,6.0,6.0,6.0,6.0,81000000,13500000,1,5.0,6.0
2003-10-05,6.0,6.0,6.0,6.0,81000000,13500000,1,6.0,6.0
2003-10-06,6.0,6.0,6.0,6.0,6600114,1100019,1,6.0,6.0
2003-10-11,100.0,100.0,100.0,100.0,11800,118,1,6.0,100.0
2003-10-13,6.0,6.0,6.0,6.0,65742,10957,7,100.0,6.0
2003-11-12,5.0,5.0,5.0,5.0,125000,25000,3,6.0,5.0
2003-11-15,5.0,5.0,5.0,5.0,10237665,2047533,1,5.0,5.0
2009-03-14,1.0,1.0,1.0,1.0,27000000,27000000,300,5.0,1.0
2009-03-16,1.0,1.0,1.0,1.0,27000000,27000000,300,1.0,1.0
2009-03-17,1.0,1.0,1.0,1.0,27000000,27000000,300,1.0,1.0
2009-03-18,1.0,1.0,1.0,1.0,27000000,27000000,300,1.0,1.0
2009-03-28,1.0,1.0,1.0,1.0,27000000,27000000,300,1.0,1.0
2009-03-29,1.0,1.0,1.0,1.0,16177592,16177592,180,1.0,1.0
