date,open,high,low,adjClose,value,volume,count,yesterday,close
2020-11-17,900.0,900.0,900.0,900.0,1757787300,1953097,93,1000.0,900.0
2020-11-18,860.0,940.0,860.0,900.0,4568080690,5036552,240,900.0,930.0
2020-11-21,870.0,930.0,870.0,900.0,5756957710,6390721,171,900.0,910.0
2020-11-22,880.0,910.0,860.0,900.0,5586499960,6388738,176,900.0,890.0
2020-11-23,870.0,890.0,870.0,900.0,3372676090,3845953,121,900.0,890.0
2020-11-24,870.0,870.0,860.0,900.0,1726336880,2002853,95,900.0,860.0
2020-11-25,860.0,860.0,860.0,900.0,422077680,490788,21,900.0,860.0
2020-11-28,860.0,860.0,860.0,900.0,92596200,107670,13,900.0,860.0
2020-11-29,860.0,920.0,860.0,890.0,20459009750,23471713,599,900.0,900.0
2020-11-30,850.0,930.0,850.0,890.0,23253714580,26055260,552,890.0,930.0
2020-12-01,880.0,920.0,880.0,890.0,22290686680,24946641,435,890.0,890.0
2020-12-07,870.0,870.0,850.0,870.0,22866303300,26890616,424,890.0,850.0
2020-12-08,830.0,850.0,830.0,850.0,28043893360,33703494,756,870.0,850.0
2020-12-09,830.0,830.0,810.0,840.0,10992761930,13381934,348,850.0,820.0
2020-12-12,810.0,830.0,810.0,830.0,22506155300,27648488,640,840.0,810.0
2020-12-13,810.0,830.0,790.0,810.0,29396952640,36692713,796,830.0,800.0
2020-12-14,800.0,850.0,790.0,840.0,52786856710,62919000,1397,810.0,850.0
2020-12-15,840.0,840.0,800.0,810.0,45835783260,56923502,1124,840.0,820.0
2020-12-16,790.0,850.0,780.0,800.0,45775313500,57057382,1296,810.0,830.0
2020-12-19,800.0,820.0,770.0,790.0,37137988150,47470887,1190,800.0,780.0
2020-12-20,770.0,780.0,760.0,780.0,11943306670,15692702,394,790.0,760.0
2020-12-21,750.0,750.0,750.0,780.0,1180240500,1573654,59,780.0,750.0
2020-12-22,750.0,750.0,750.0,780.0,1081332750,1441777,42,780.0,750.0
2020-12-23,750.0,750.0,750.0,780.0,5524928250,7366571,145,780.0,750.0
2020-12-26,750.0,750.0,750.0,780.0,2357178000,3142904,91,780.0,750.0
2020-12-27,750.0,750.0,750.0,780.0,971722500,1295630,33,780.0,750.0
2020-12-28,750.0,750.0,750.0,780.0,1249719000,1666292,43,780.0,750.0
2020-12-29,750.0,750.0,750.0,780.0,122137500,162850,12,780.0,750.0
