date,open,high,low,adjClose,value,volume,count,yesterday,close
2013-04-27,190.0,205.0,190.0,200.0,134441750,673673,51,1000.0,205.0
2013-04-28,216.0,216.0,211.0,216.0,185972689,862832,76,200.0,216.0
2013-04-29,233.0,233.0,233.0,233.0,10252000,44000,4,216.0,233.0
2013-04-30,251.0,251.0,251.0,251.0,37165570,148070,14,233.0,251.0
2013-05-01,271.0,271.0,271.0,271.0,35615362,131422,9,251.0,271.0
2013-05-04,292.0,292.0,292.0,292.0,544874044,1866007,182,271.0,292.0
2013-05-05,314.0,314.0,285.0,309.0,420140739,1358786,197,292.0,295.0
2013-05-06,314.0,333.0,285.0,310.0,364649334,1175779,127,309.0,310.0
2013-05-07,330.0,330.0,300.0,320.0,56038522,175019,196,310.0,320.0
2013-05-08,320.0,344.0,300.0,327.0,263850113,807662,164,320.0,339.0
2013-05-11,353.0,353.0,327.0,337.0,162304325,482264,79,327.0,335.0
2013-05-12,355.0,363.0,343.0,359.0,492282798,1371484,82,337.0,363.0
2013-05-13,387.0,387.0,370.0,386.0,407674699,1055825,142,359.0,387.0
2013-05-14,416.0,416.0,416.0,416.0,135974176,326861,25,386.0,416.0
2013-05-15,449.0,449.0,449.0,449.0,12690536,28264,8,416.0,449.0
2013-05-18,484.0,484.0,459.0,480.0,331118230,690356,88,449.0,484.0
2013-05-19,518.0,518.0,442.0,507.0,440413012,868467,316,480.0,500.0
2013-05-20,547.0,547.0,510.0,540.0,540310341,1001025,275,507.0,540.0
2013-05-21,583.0,583.0,502.0,545.0,564201405,1035370,262,540.0,525.0
2013-05-22,529.0,529.0,502.0,502.0,149670990,298015,112,545.0,502.0
2013-05-25,462.0,462.0,462.0,462.0,34600566,74893,9,502.0,462.0
2013-05-26,426.0,426.0,426.0,426.0,1990698,4673,3,462.0,426.0
2013-05-27,392.0,392.0,392.0,392.0,6347264,16192,5,426.0,392.0
2013-05-28,361.0,423.0,361.0,385.0,803662181,2088857,168,392.0,423.0
2013-05-29,415.0,415.0,415.0,415.0,9522175,22945,5,385.0,415.0
2013-06-01,448.0,448.0,420.0,445.0,600022187,1349036,159,415.0,440.0
2013-06-02,450.0,460.0,410.0,412.0,282467075,684878,77,445.0,410.0
2013-06-03,381.0,439.0,380.0,381.0,577608642,1516985,141,412.0,380.0
2013-06-08,360.0,370.0,351.0,351.0,1377820226,3922400,357,381.0,351.0
2013-06-09,350.0,350.0,323.0,324.0,72007660,222402,39,351.0,323.0
2013-06-10,299.0,349.0,299.0,328.0,471983991,1438588,113,324.0,328.0
2013-06-11,352.0,353.0,341.0,350.0,170637615,487183,75,328.0,350.0
2013-06-12,350.0,375.0,322.0,323.0,169325978,523607,47,350.0,322.0
2013-06-15,348.0,348.0,298.0,311.0,594709954,1913341,180,323.0,319.0
2013-06-16,328.0,335.0,305.0,330.0,628690144,1905977,172,311.0,319.0
2013-06-17,330.0,356.0,304.0,327.0,1098870346,3363522,260,330.0,356.0
2013-06-18,350.0,350.0,302.0,332.0,618683735,1861710,196,327.0,344.0
2013-06-19,318.0,329.0,306.0,308.0,802521572,2603756,287,332.0,308.0
2013-06-22,332.0,332.0,332.0,332.0,503160940,1515545,59,308.0,332.0
2013-06-23,358.0,358.0,358.0,358.0,185109270,517065,23,332.0,358.0
2013-06-25,386.0,386.0,386.0,386.0,53522760,138660,11,358.0,386.0
2013-06-26,416.0,416.0,416.0,416.0,338468832,813627,39,386.0,416.0
2013-06-29,449.0,449.0,449.0,449.0,73574038,163862,12,416.0,449.0
2013-06-30,484.0,484.0,484.0,484.0,210310584,434526,28,449.0,484.0
2013-07-01,522.0,522.0,522.0,522.0,364093434,697497,48,484.0,522.0
2013-07-02,563.0,563.0,523.0,560.0,2382040337,4255231,319,522.0,563.0
2013-07-03,604.0,604.0,604.0,604.0,63284704,104776,7,560.0,604.0
2013-07-06,652.0,652.0,652.0,652.0,130400,200,2,604.0,652.0
2013-07-07,704.0,704.0,704.0,704.0,116690112,165753,10,652.0,704.0
2013-07-08,760.0,760.0,760.0,760.0,14398200,18945,7,704.0,760.0
2013-07-09,820.0,820.0,820.0,820.0,44193900,53895,8,760.0,820.0
2013-07-10,885.0,885.0,885.0,885.0,15595470,17622,4,820.0,885.0
2013-07-13,955.0,955.0,941.0,955.0,3197020916,3347670,310,885.0,955.0
2013-07-14,1031.0,1031.0,879.0,923.0,2319713654,2513824,314,955.0,879.0
2013-07-15,930.0,988.0,850.0,864.0,730680844,845213,109,923.0,850.0
2013-07-20,1304.0,1408.0,1304.0,1369.0,1057964761,772901,70,864.0,1408.0
2013-07-21,1478.0,1478.0,1260.0,1353.0,3282158624,2426618,241,1369.0,1450.0
2013-10-28,1150.0,1150.0,1150.0,1150.0,983250000,855000,19,1353.0,1150.0
2013-10-29,1058.0,1058.0,1058.0,1058.0,318458000,301000,8,1150.0,1058.0
2013-10-30,1058.0,1058.0,974.0,975.0,492554280,505220,32,1058.0,974.0
2013-11-02,898.0,898.0,897.0,897.0,89750000,100000,4,975.0,897.0
2013-11-03,826.0,827.0,826.0,826.0,724408000,877000,72,897.0,826.0
2013-11-04,760.0,770.0,760.0,760.0,579826610,762850,36,826.0,760.0
2013-11-05,702.0,712.0,700.0,701.0,3502990300,5000000,442,760.0,700.0
2013-11-06,750.0,757.0,750.0,756.0,4083600000,5400000,113,701.0,757.0
2013-11-09,816.0,816.0,816.0,816.0,408000000,500000,21,756.0,816.0
2013-11-10,881.0,881.0,881.0,881.0,3524000000,4000000,162,816.0,881.0
2013-11-11,951.0,951.0,951.0,951.0,475500000,500000,22,881.0,951.0
2013-11-12,1027.0,1027.0,951.0,1027.0,3878643094,3776862,173,951.0,1027.0
2013-11-17,1109.0,1109.0,1109.0,1109.0,1441700000,1300000,52,1027.0,1109.0
2013-11-18,1197.0,1197.0,1197.0,1197.0,119700000,100000,7,1109.0,1197.0
2013-11-19,1292.0,1292.0,1292.0,1292.0,129200000,100000,7,1197.0,1292.0
