date,open,high,low,adjClose,value,volume,count,yesterday,close
2021-08-02,10000.0,10000.0,10000.0,10000.0,18530280000,1853028,198,10000.0,10000.0
2021-08-03,10000.0,10000.0,10000.0,10000.0,47874260000,4787426,1580,10000.0,10000.0
2021-08-04,10000.0,10000.0,10000.0,10000.0,82647380000,8264738,1108,10000.0,10000.0
2021-08-07,10000.0,10000.0,10000.0,10000.0,44930330000,4493033,467,10000.0,10000.0
2021-08-08,10000.0,10000.0,10000.0,10000.0,95427150000,9542715,695,10000.0,10000.0
2021-09-19,10180.0,10199.0,10180.0,10183.0,10315642340,1012999,259,10000.0,10189.0
2021-09-20,10189.0,10195.0,10188.0,10188.0,17329100518,1700882,463,10183.0,10189.0
2021-09-21,10194.0,10195.0,10193.0,10194.0,16630616700,1631448,334,10188.0,10194.0
2021-09-22,10199.0,10208.0,10199.0,10201.0,11359750898,1113597,286,10194.0,10200.0
2021-09-25,10210.0,10215.0,10205.0,10210.0,48692933905,4769238,364,10201.0,10212.0
2021-09-26,10228.0,10228.0,10218.0,10225.0,57771906188,5650025,405,10210.0,10225.0
2021-09-28,10231.0,10233.0,10229.0,10231.0,43032844425,4205968,237,10225.0,10233.0
2021-09-29,10237.0,10239.0,10233.0,10236.0,46595138876,4552283,216,10231.0,10235.0
2021-10-02,10246.0,10250.0,10243.0,10246.0,23634971003,2306676,203,10236.0,10250.0
2021-10-03,10256.0,10256.0,10254.0,10255.0,16363520411,1595664,139,10246.0,10256.0
2021-10-04,10259.0,10261.0,10259.0,10260.0,17783270992,1733243,141,10255.0,10261.0
2021-10-06,10271.0,10271.0,10269.0,10270.0,22323120294,2173715,146,10260.0,10271.0
2021-10-09,10285.0,10286.0,10284.0,10285.0,13694495536,1331566,127,10270.0,10286.0
2021-10-10,10291.0,10291.0,10289.0,10290.0,28514256438,2771042,170,10285.0,10291.0
2021-10-11,10296.0,10296.0,10294.0,10294.0,4624912165,449265,76,10290.0,10294.0
2021-10-12,10300.0,10301.0,10299.0,10300.0,63625457176,6177245,271,10294.0,10299.0
2021-10-13,10306.0,10306.0,10304.0,10304.0,8802730125,854270,109,10300.0,10304.0
2021-10-16,10319.0,10322.0,10319.0,10321.0,37764812112,3659128,191,10304.0,10321.0
2021-10-17,10327.0,10328.0,10324.0,10326.0,54779456843,5305002,206,10321.0,10327.0
