date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-05-27,2623.0,2623.0,2623.0,2623.0,8655900,3300,4,0.0,2623.0
2001-06-02,2623.0,2623.0,2623.0,2623.0,1311500,500,1,2623.0,2623.0
2001-08-19,1500.0,1500.0,1500.0,1500.0,1500000,1000,1,2623.0,1500.0
2001-08-21,1530.0,1530.0,1530.0,1530.0,1530000,1000,1,1500.0,1530.0
2001-08-22,1550.0,1550.0,1550.0,1550.0,775000,500,1,1530.0,1550.0
2001-08-29,1550.0,1570.0,1550.0,1550.0,1557000,1000,4,1550.0,1550.0
2001-09-05,1600.0,1600.0,1600.0,1600.0,416000,260,1,1550.0,1600.0
2001-09-29,1600.0,1600.0,1600.0,1600.0,480000,300,2,1600.0,1600.0
2001-10-02,1600.0,1600.0,1600.0,1600.0,480000,300,2,1600.0,1600.0
2001-12-10,1600.0,1600.0,1600.0,1600.0,640000,400,2,1600.0,1600.0
2001-12-30,1520.0,1520.0,1520.0,1520.0,1520000,1000,1,1600.0,1520.0
2001-12-31,1450.0,1450.0,1450.0,1450.0,2900000,2000,1,1520.0,1450.0
2002-01-01,1450.0,1450.0,1450.0,1450.0,243600,168,1,1450.0,1450.0
2002-01-06,1450.0,1450.0,1450.0,1450.0,435000,300,2,1450.0,1450.0
2002-01-12,1522.0,1522.0,1522.0,1522.0,608800,400,2,1450.0,1522.0
2002-01-13,1522.0,1522.0,1522.0,1522.0,380500,250,1,1522.0,1522.0
2002-01-14,1522.0,1522.0,1522.0,1522.0,228300,150,1,1522.0,1522.0
2002-02-16,1522.0,1522.0,1522.0,1522.0,380500,250,1,1522.0,1522.0
2002-08-03,1600.0,1600.0,1600.0,1600.0,1600000,1000,1,1522.0,1600.0
2002-10-06,1600.0,1600.0,1600.0,1600.0,400000,250,2,1600.0,1600.0
2002-10-07,1602.0,1602.0,1602.0,1602.0,8010000,5000,1,1600.0,1602.0
2002-10-09,1602.0,1602.0,1602.0,1602.0,6408000,4000,1,1602.0,1602.0
2002-10-13,1607.0,1607.0,1607.0,1607.0,1607000,1000,1,1602.0,1607.0
2002-10-14,1612.0,1612.0,1612.0,1612.0,1612000,1000,1,1607.0,1612.0
2002-10-15,1612.0,1612.0,1612.0,1612.0,1612000,1000,1,1612.0,1612.0
2002-10-16,1617.0,1617.0,1617.0,1617.0,1617000,1000,1,1612.0,1617.0
2002-10-19,1617.0,1617.0,1617.0,1617.0,1617000,1000,1,1617.0,1617.0
2002-10-21,1617.0,1617.0,1617.0,1617.0,1617000,1000,1,1617.0,1617.0
2003-02-05,1617.0,1617.0,1617.0,1617.0,3234000,2000,1,1617.0,1617.0
2003-03-03,1617.0,1637.0,1617.0,1637.0,1879550,1150,2,1617.0,1637.0
