date,open,high,low,adjClose,value,volume,count,yesterday,close
2021-08-25,3000.0,3000.0,3000.0,3000.0,57801540000,19267180,3900,1000.0,3000.0
2021-08-28,3090.0,3090.0,3090.0,3090.0,55110023310,17834959,8266,3000.0,3090.0
2021-08-29,3182.0,3182.0,3182.0,3182.0,46065849002,14477011,5330,3090.0,3182.0
2021-08-30,3277.0,3277.0,3277.0,3277.0,55126428048,16822224,6010,3182.0,3277.0
2021-08-31,3440.0,3440.0,3440.0,3395.0,8266633040,2403091,1313,3277.0,3440.0
2021-09-01,3496.0,3496.0,3496.0,3496.0,110957082816,31738296,8913,3395.0,3496.0
2021-09-04,3600.0,3600.0,3600.0,3600.0,68917435200,19143732,5221,3496.0,3600.0
2021-09-05,3708.0,3708.0,3708.0,3708.0,67058186256,18084732,4661,3600.0,3708.0
2021-09-06,3893.0,3893.0,3530.0,3795.0,350359638876,92325935,35167,3708.0,3640.0
2021-09-07,3682.0,3730.0,3682.0,3684.0,112396317656,30512788,10553,3795.0,3682.0
2021-09-08,3574.0,3657.0,3574.0,3583.0,365630286634,102032725,47323,3684.0,3599.0
2021-09-11,3550.0,3689.0,3476.0,3524.0,64489177778,18300773,8183,3583.0,3476.0
2021-09-12,3419.0,3440.0,3419.0,3420.0,32437659231,9485158,3799,3524.0,3419.0
2021-09-13,3318.0,3318.0,3318.0,3320.0,9123955848,2749836,1025,3420.0,3318.0
2021-09-14,3190.0,3300.0,3154.0,3181.0,182534630254,57389290,24636,3320.0,3161.0
2021-09-15,3161.0,3276.0,3140.0,3259.0,118782866570,36445944,15946,3181.0,3276.0
2021-09-18,3280.0,3282.0,3162.0,3168.0,79405210044,25067220,10714,3259.0,3162.0
2021-09-19,3090.0,3157.0,3073.0,3074.0,48289309173,15708639,6812,3168.0,3073.0
2021-09-20,3030.0,3130.0,2982.0,3002.0,85173755354,28373491,10512,3074.0,2983.0
2021-09-21,3010.0,3040.0,2912.0,2963.0,69000864951,23288167,10090,3002.0,2950.0
2021-09-22,2880.0,2962.0,2875.0,2879.0,43037248521,14948570,6222,2963.0,2950.0
2021-09-25,2965.0,2965.0,2803.0,2921.0,48101043476,16469179,7156,2879.0,2958.0
2021-09-26,2921.0,2950.0,2834.0,2880.0,26973246924,9366731,4090,2921.0,2850.0
