date,open,high,low,adjClose,value,volume,count,yesterday,close
2018-06-09,10000.0,10000.0,10000.0,10000.0,146858470000,14685847,1662,10000.0,10000.0
2018-06-10,10000.0,10000.0,10000.0,10000.0,76124480000,7612448,1054,10000.0,10000.0
2018-06-11,10000.0,10000.0,10000.0,10000.0,111922160000,11192216,1279,10000.0,10000.0
2018-06-12,10000.0,10000.0,10000.0,10000.0,85266250000,8526625,1063,10000.0,10000.0
2018-06-13,10000.0,10000.0,10000.0,10000.0,173703060000,17370306,2132,10000.0,10000.0
2018-07-22,10670.0,10700.0,10470.0,10577.0,147832857622,13976341,3091,10000.0,10500.0
2018-07-23,10600.0,10650.0,10400.0,10511.0,98861744378,9405705,1992,10577.0,10404.0
2018-07-24,10470.0,10590.0,10450.0,10505.0,107007653558,10186681,1140,10511.0,10590.0
2018-07-25,10570.0,10579.0,10535.0,10555.0,28687018707,2717956,553,10505.0,10550.0
2018-07-28,10598.0,10675.0,10578.0,10640.0,43851833881,4121383,794,10555.0,10661.0
2018-07-29,10720.0,11000.0,10720.0,10794.0,64026677657,5931613,1116,10640.0,10764.0
2018-07-30,10850.0,10944.0,10840.0,10888.0,61642574768,5661331,1194,10794.0,10889.0
2018-07-31,10920.0,11050.0,10600.0,10909.0,108352718604,9932818,1470,10888.0,10810.0
2018-08-01,10780.0,10994.0,10750.0,10897.0,25972264603,2383514,569,10909.0,10900.0
2018-08-04,10928.0,10928.0,10701.0,10772.0,25680487784,2384022,602,10897.0,10730.0
2018-08-05,10500.0,10650.0,10450.0,10473.0,35682256702,3407034,687,10772.0,10451.0
2018-08-06,10440.0,10440.0,10301.0,10383.0,35915325674,3458916,696,10473.0,10353.0
2018-08-07,10287.0,10287.0,10210.0,10249.0,41432133588,4042665,549,10383.0,10233.0
2018-08-08,10208.0,10499.0,10208.0,10338.0,18746047183,1813317,446,10249.0,10499.0
2018-08-11,10640.0,10797.0,10550.0,10638.0,12032309754,1131116,500,10338.0,10644.0
2018-08-12,10638.0,10753.0,10550.0,10692.0,25090257550,2346638,610,10638.0,10753.0
2018-08-13,10750.0,10900.0,10750.0,10828.0,8228502043,759920,261,10692.0,10856.0
